5. Rugged;min;max;mean;RMS;Triangles
Simp Stage 1;0;0,007559;0,000033;0,000125;947524
Simp Stage 2;0;0,009433;0,000094;0,000248;891050
Simp Stage 3;0;0,009231;0,000175;0,00038;834574
Simp Stage 4;0;0,011837;0,000272;0,000514;778100
Simp Stage 5;0;0,010982;0,000388;0,000664;721624
Simp Stage 6;0;0,012218;0,000519;0,000825;665150
Simp Stage 7;0;0,010972;0,000667;0,000999;608674
Simp Stage 8;0;0,013062;0,000838;0,001198;552200
Simp Stage 9;0;0,013272;0,001028;0,001418;495724
Simp Stage 10;0;0,014033;0,001239;0,001666;439250
Simp Stage 11;0;0,015074;0,001478;0,001951;382774
Simp Stage 12;0;0,018142;0,001749;0,002277;326300
Simp Stage 13;0;0,02255;0,002074;0,00268;269824
Simp Stage 14;0;0,022632;0,002476;0,003179;213350
Simp Stage 15;0;0,024738;0,002992;0,003825;156874
Simp Stage 16;0;0,029884;0,003734;0,004757;100400
